pdiff,is_away_b2b,is_home_b2b,win
-8.0,144.0,144.0,3
13.0,143.5,144.0,3
0.0,144.0,143.5,15
0.0,144.0,144.0,16
-11.0,144.0,144.0,12
-11.0,24.0,23.5,-7
10.0,24.0,24.5,22
1.0,24.5,168.0,3
0.0,192.5,145.0,10
7.0,24.0,168.0,7
-3.0,24.5,144.0,-4
8.0,24.0,24.0,-5
-7.0,24.5,168.5,-4
-1.0,23.5,168.0,20
-3.0,24.0,23.5,10
-3.0,143.5,168.0,-1
13.0,47.5,24.0,-6
4.0,24.5,169.5,12
-9.0,48.0,48.0,3
-9.0,47.5,48.5,6
-1.0,48.0,48.0,15
7.0,24.0,24.0,15
-4.0,73.5,73.5,-10
-5.0,48.5,48.0,26
5.0,48.0,48.0,-12
0.0,24.5,48.0,13
5.0,72.0,47.5,1
8.0,48.5,48.5,2
-9.0,47.5,47.5,-5
5.0,47.5,47.5,-1
4.0,48.0,48.0,22
-2.0,24.0,24.0,-17
11.0,23.5,47.5,20
-6.0,65.0,89.0,13
-8.0,24.5,24.0,19
0.0,24.0,72.0,31
7.0,23.5,22.5,18
-8.0,47.0,46.5,-9
2.0,42.0,42.0,2
6.0,43.5,26.5,-17
10.0,48.5,49.0,-17
-5.0,68.5,67.0,5
2.0,43.5,43.5,4
4.0,46.5,46.5,9
-7.0,42.5,43.0,-4
13.0,29.5,30.5,-7
20.0,25.5,47.5,23
9.0,48.5,29.5,-5
-14.0,48.5,55.0,7
-6.0,47.0,72.0,-4
-4.0,28.0,25.5,6
3.0,23.0,47.5,7
3.0,48.0,48.0,16
5.0,72.0,48.0,24
6.0,28.0,48.0,-8
-4.0,96.0,51.5,8
-2.0,49.0,47.0,-11
-7.0,52.0,71.5,21
-15.0,23.5,52.5,-26
0.0,53.0,49.5,12
0.0,48.0,48.0,8
9.0,24.5,48.0,30
-2.0,47.5,48.0,10
-9.0,48.5,48.0,-16
-12.0,48.5,48.0,5
-14.0,48.0,48.0,-16
8.0,47.5,24.0,7
-13.0,24.0,48.0,5
-6.0,47.5,48.0,15
-3.0,47.5,23.5,-9
13.0,48.0,48.0,3
-5.0,24.0,72.0,37
11.0,24.0,24.0,2
5.0,48.5,48.0,11
-9.0,49.0,49.5,-11
6.0,48.5,96.5,-8
-7.0,127.0,49.0,3
-7.0,48.0,72.0,-26
2.0,48.0,48.0,9
4.0,48.0,48.0,5
14.0,72.0,48.0,25
23.0,48.0,96.0,24
8.0,72.0,47.5,-13
8.0,48.0,48.0,1
-3.0,23.5,24.0,-4
-7.0,24.5,48.5,23
22.0,25.0,49.0,5
-17.0,24.5,23.0,-23
6.0,24.5,48.0,23
-11.0,23.0,24.0,-3
7.0,65.5,89.5,-8
-7.0,23.5,48.0,-8
2.0,41.5,23.5,7
-2.0,42.5,43.0,-5
-6.0,48.0,47.5,-14
-3.0,29.0,47.0,13
-1.0,42.0,42.5,5
3.0,71.0,70.5,7
8.0,41.5,42.0,1
1.0,47.5,47.5,6
23.0,30.5,48.5,-18
-18.0,48.0,48.0,-14
4.0,48.5,71.5,7
-15.0,29.0,47.0,18
24.0,25.0,24.0,25
12.0,49.5,71.5,13
-5.0,48.0,94.5,15
-20.0,53.5,54.5,10
2.0,49.5,72.5,-1
-17.0,23.5,72.0,-5
17.0,71.5,72.0,4
-12.0,71.5,54.0,20
-4.0,24.0,47.5,3
1.0,48.5,79.0,-31
2.0,48.5,48.0,-4
-10.0,24.5,48.0,14
-9.0,77.5,48.0,33
2.0,24.0,48.0,20
-3.0,23.5,73.0,3
26.0,48.0,77.5,9
2.0,96.0,24.0,7
32.0,24.0,48.0,22
-14.0,24.5,73.0,-24
-13.0,48.5,48.5,-7
-3.0,48.5,48.5,1
-3.0,48.5,48.0,15
2.0,47.5,47.5,-13
-17.0,96.0,48.0,10
-9.0,72.0,48.0,21
16.0,72.5,48.0,14
2.0,48.0,48.0,16
14.0,72.0,48.0,1
6.0,23.5,23.5,6
-11.0,23.5,72.0,-8
-22.0,24.0,72.0,-4
1.0,72.0,72.5,-2
18.0,23.5,47.5,16
22.0,24.0,72.0,10
0.0,95.5,72.0,-1
-1.0,69.0,45.5,-16
24.0,22.0,21.5,11
2.0,68.5,45.0,11
7.0,40.0,39.5,-18
-22.0,117.5,46.0,-36
8.0,22.0,45.5,2
2.0,45.5,118.0,19
5.0,40.5,64.0,-12
-11.0,40.5,89.0,1
-9.0,25.5,47.0,11
-8.0,25.5,25.5,17
2.0,47.0,47.0,-11
12.0,30.0,46.5,-15
3.0,25.5,71.0,21
-9.0,71.0,71.0,12
6.0,49.5,49.5,8
1.0,54.5,49.0,24
-2.0,49.0,54.5,8
-7.0,71.5,49.5,2
3.0,49.0,71.0,5
8.0,24.0,71.0,-4
14.0,55.0,71.0,9
