21,110,11,118
30,109,13,114
2,107,14,100
5,102,17,98
7,88,18,78
12,92,20,87
15,107,22,119
29,101,24,86
24,90,1,103
21,124,8,102
18,124,10,117
14,81,13,103
5,92,15,108
9,89,16,107
6,109,17,80
19,93,23,107
25,115,26,107
4,90,28,96
27,88,29,86
19,97,2,104
11,86,7,88
6,109,12,123
13,91,14,81
4,111,20,97
9,108,22,104
21,115,25,120
3,103,30,121
28,87,1,95
27,101,10,112
24,124,11,115
5,98,16,106
18,105,26,97
17,109,2,124
3,99,4,113
15,93,7,103
27,98,8,102
30,99,9,112
14,102,19,110
16,109,22,112
20,109,23,102
12,98,28,111
13,102,29,99
2,107,1,118
6,102,5,105
10,100,15,99
24,121,19,100
18,106,25,105
21,112,26,114
29,100,8,84
14,110,11,130
3,105,12,129
7,91,13,98
22,96,16,118
28,93,20,89
17,109,23,108
10,92,27,86
4,98,30,113
4,114,2,100
30,120,3,111
1,94,6,109
11,129,18,105
5,121,19,116
14,79,21,112
17,98,22,107
26,105,24,101
7,101,29,92
16,99,9,93
20,90,12,102
15,84,13,110
21,98,27,102
23,98,28,122
16,88,2,98
28,103,3,96
23,105,5,115
22,103,4,117
9,112,6,110
27,96,7,91
15,104,10,125
26,81,11,116
29,96,14,101
12,97,17,92
19,109,18,144
13,105,24,114
8,99,25,107
1,98,30,109
