Date,Home Team,Away Team,dSRS,Away Team Win Probability
,CLE,POR,-6.906119118943181,0.22596729972583982
,DAL,LAC,3.5141139956402796,0.7011589535580152
,DET,MIA,4.380650687737521,0.7361649547286281
,GSW,LAL,-18.061985334869775,0.030401295193039482
,HOU,TOR,-0.893591151925694,0.49282093580011016
,IND,ATL,4.624427804041812,0.7455249036166177
,NOP,MIN,0.38057146150969334,0.5562889502691342
,ORL,PHX,-2.9922538635231763,0.3897291717942103
,PHI,MEM,6.631576455028752,0.8140153819613309
,SAC,OKC,9.78570195019508,0.8915952522497299
,UTA,DEN,-6.201422059576638,0.2515647255582872
,BOS,SAS,5.246205360210194,0.7683897469216918
,CLE,DAL,-5.603299829640918,0.27474897654738
,DEN,OKC,7.939922236301845,0.8504308718198109
,DET,LAC,3.535590923295938,0.7020582091000576
,IND,BRK,-7.813177826331085,0.19581869131539098
,LAL,GSW,18.061985334869775,0.9772992972690865
,MEM,MIA,9.449226328003757,0.8849175109723411
,MIL,TOR,6.946655859320316,0.8233674762570614
,NYK,CHA,8.773520998101226,0.8704230223620344
,ORL,WAS,5.575087250789587,0.7798886245506093
,PHI,CHI,9.51022220014851,0.8861540350650915
,PHX,MIN,2.0516633336161147,0.6365295094476784
,POR,NOP,-4.403092406344149,0.32505902063654774
,SAC,HOU,9.673860766957446,0.8894142786725917
,UTA,ATL,2.3616998978262416,0.650750553146606
,CHA,NYK,-8.773520998101226,0.16732516459676192
,GSW,MIN,-13.118878667603004,0.07771716920890213
,MIA,MEM,-9.449226328003757,0.14933258974135874
,OKC,DET,-3.8775576546803,0.3485289798971452
,WAS,SAS,4.432088990846629,0.7381582266716002
,BRK,SAC,2.0287039590767835,0.6354664700988841
,DAL,NOP,-5.705911695646411,0.27067860679976163
,IND,LAC,3.659261351556415,0.707205909912936
,LAL,ATL,14.747727349529166,0.9568739922440881
,ORL,MIL,0.28874223677065514,0.5517511165847154
,PHI,CLE,17.324928852591565,0.9737882417425201
,PHX,DEN,3.293162058475629,0.691818002984102
,POR,HOU,5.047058833089271,0.7612258133411013
,GSW,ATL,-3.3142579853406104,0.3745252828902125
,MEM,CHA,9.926632449001518,0.8942896103453817
,MIA,BOS,-3.9829525828854964,0.34375826739927157
,MIN,UTA,7.4429207844361525,0.8373421913314038
,NYK,OKC,7.793021844046244,0.8466551768241729
,TOR,PHI,-14.57227741481196,0.05927543157660297
,WAS,SAC,-7.119958769730368,0.21857469545583597
,BRK,LAC,11.4724391778875,0.9201574212920438
,CHA,DET,-4.858056808735283,0.3054217196139014
,MIL,CLE,9.699307297099919,0.8899138539398057
,NOP,LAL,-4.5625352057570785,0.3181022080898123
,SAS,ORL,-10.007176241636216,0.13570447046854792
,UTA,HOU,1.626658993487574,0.6166449427635085
,BOS,DET,-0.3976981048520243,0.5176078106199874
,CHI,LAL,-8.057040078601354,0.1882520673376502
,DAL,SAS,5.62242653740656,0.7815095916792024
,DEN,MIA,8.443015269359066,0.8627834092879358
,MIN,NYK,1.3883991171151155,0.6053194958074496
,OKC,WAS,-2.6657431804647107,0.40536770934796107
,PHI,SAC,5.792007799780209,0.7872455560937022
,PHX,ATL,11.856284015878508,0.9256186305006018
,POR,IND,1.1576719333861267,0.5942431249736871
,TOR,MEM,-7.940700959783208,0.19183351571873933
,BRK,MIL,3.8623177147882193,0.715543803523343
,CHA,DAL,-4.836579881079625,0.30633370048392516
,CLE,LAC,-2.089185834000639,0.43343814428587474
,GSW,HOU,-4.049298889679278,0.34077111119365094
,MEM,ORL,0.7053028636922374,0.5722557588489994
,UTA,MIA,2.241593209782428,0.6452715438650599
,ATL,DET,-4.500757375781335,0.3207882960422271
,BOS,SAC,-6.305842400366803,0.24765311193915435
,CHI,CLE,7.814706652443054,0.8472173992326003
,DEN,HOU,7.828081053064212,0.8475633144434745
