21,28,23,59,9,35,53,37,30,23,49,32,19,60,21,51,43,34,0,51,47,36,68,53,57,66,66,45,62,11
20,23,20,61,8,37,54,39,32,23,43,38,22,57,22,55,43,37,0,48,50,36,63,54,58,66,62,42,60,16
22,21,18,63,10,38,58,33,33,26,45,37,19,60,18,53,41,33,0,53,43,37,66,52,58,69,62,46,58,17
22,28,18,62,7,40,52,32,33,20,45,35,25,60,19,55,46,40,0,51,44,35,69,50,53,70,63,44,59,12
26,23,19,63,6,36,56,35,30,22,42,39,18,62,23,56,41,34,0,48,48,33,67,50,58,69,64,50,59,12
23,27,18,58,8,41,54,37,28,25,45,35,25,59,21,51,43,32,0,54,48,36,63,55,59,66,60,47,57,14
20,25,19,58,8,34,55,34,31,24,43,34,23,63,25,54,42,32,0,50,46,37,66,51,62,70,60,52,59,12
22,28,17,65,9,37,56,35,34,24,46,33,19,61,23,51,44,35,0,53,44,31,67,51,60,65,61,47,60,11
21,26,21,60,6,40,55,31,36,23,43,37,25,60,26,49,43,42,0,51,43,32,71,50,60,65,63,43,55,12
16,23,22,67,5,37,53,30,37,25,44,39,23,62,18,48,46,35,0,49,46,38,67,51,56,71,59,47,62,13
26,22,19,61,8,45,53,38,32,27,45,33,18,61,18,50,49,37,0,57,45,39,64,53,51,69,59,45,54,11
23,21,23,61,6,41,58,34,34,24,45,31,17,60,28,47,48,40,0,52,43,39,67,53,59,68,57,43,56,11
