22,119,21,117
8,105,25,112
21,88,9,104
23,88,11,115
22,69,12,88
3,95,13,127
2,105,19,106
7,77,20,93
16,90,27,94
15,102,29,96
28,117,6,121
3,118,14,125
1,93,16,90
4,115,18,108
5,113,25,88
17,100,1,107
7,83,2,90
24,104,8,120
6,93,12,103
15,111,13,107
9,102,20,105
11,103,21,105
19,82,22,89
30,102,23,109
27,110,26,105
10,127,28,121
25,109,11,126
17,73,16,96
23,86,18,110
5,85,29,77
20,112,30,119
10,104,2,88
1,96,4,100
9,81,6,104
15,80,7,64
28,113,8,111
24,116,12,96
27,116,14,107
25,101,19,113
3,105,21,124
13,121,26,115
2,94,9,92
29,102,11,111
5,95,13,102
18,71,15,93
10,124,17,121
4,116,19,121
7,87,22,95
24,105,23,120
16,114,30,111
25,129,3,109
29,91,8,105
5,118,14,110
1,94,20,104
12,115,21,111
28,99,26,102
15,105,4,90
11,99,9,96
10,120,12,83
28,115,13,123
22,89,17,93
2,99,18,93
16,94,23,101
7,91,27,96
24,101,30,106
19,112,1,94
5,107,8,110
21,109,14,111
25,103,20,107
2,111,3,92
27,119,4,114
25,125,6,137
13,124,7,104
16,84,9,107
14,106,10,149
28,115,11,102
1,96,12,85
18,96,19,117
24,92,22,87
15,104,23,99
21,101,26,116
8,83,29,108
27,109,2,103
7,90,6,128
21,132,8,129
13,97,9,108
3,97,12,118
10,109,14,85
16,90,15,81
28,105,17,99
4,111,20,113
30,94,22,91
5,105,23,89
18,98,24,85
19,104,25,119
11,117,26,104
1,68,29,95
20,102,4,107
18,102,10,115
15,110,16,107
9,88,21,106
27,112,30,100
26,122,3,105
19,81,7,91
13,70,12,91
1,94,14,109
17,104,22,96
6,112,23,108
8,120,24,114
11,130,25,114
1,100,10,105
4,104,15,85
2,112,16,104
29,112,18,103
21,112,20,103
23,95,28,122
26,95,30,101
9,0,4,0
6,0,17,0
14,0,19,0
22,0,27,0
11,0,29,0
9,0,2,0
14,0,5,0
27,0,7,0
16,0,8,0
20,0,18,0
30,0,21,0
26,0,23,0
1,0,24,0
12,0,25,0
15,0,28,0
17,0,3,0
7,0,4,0
13,0,6,0
11,0,10,0
22,0,15,0
16,0,29,0
