date,date_start_time_et,away_team,away_pts,home_team,home_pts,box_score,OT,Notes
Sun Nov 5 2017,7:00 pm,Phoenix Suns,,San Antonio Spurs,,,,
Sun Nov 5 2017,6:00 pm,Washington Wizards,,Toronto Raptors,,,,
Mon Nov 6 2017,7:30 pm,Boston Celtics,,Atlanta Hawks,,,,
Mon Nov 6 2017,10:30 pm,Miami Heat,,Golden State Warriors,,,,
Mon Nov 6 2017,9:00 pm,Brooklyn Nets,,Phoenix Suns,,,,
Tue Nov 7 2017,7:00 pm,Milwaukee Bucks,,Cleveland Cavaliers,,,,
Tue Nov 7 2017,9:00 pm,Brooklyn Nets,,Denver Nuggets,,,,
Tue Nov 7 2017,7:00 pm,New Orleans Pelicans,,Indiana Pacers,,,,
Tue Nov 7 2017,7:30 pm,Charlotte Hornets,,New York Knicks,,,,
Tue Nov 7 2017,10:00 pm,Memphis Grizzlies,,Portland Trail Blazers,,,,
Tue Nov 7 2017,10:00 pm,Oklahoma City Thunder,,Sacramento Kings,,,,
Tue Nov 7 2017,8:30 pm,Los Angeles Clippers,,San Antonio Spurs,,,,
Tue Nov 7 2017,7:30 pm,Chicago Bulls,,Toronto Raptors,,,,
Tue Nov 7 2017,9:00 pm,Philadelphia 76ers,,Utah Jazz,,,,
Tue Nov 7 2017,7:00 pm,Dallas Mavericks,,Washington Wizards,,,,
Wed Nov 8 2017,8:00 pm,Los Angeles Lakers,,Boston Celtics,,,,
Wed Nov 8 2017,7:00 pm,Indiana Pacers,,Detroit Pistons,,,,
Wed Nov 8 2017,10:30 pm,Minnesota Timberwolves,,Golden State Warriors,,,,
Wed Nov 8 2017,7:00 pm,New York Knicks,,Orlando Magic,,,,
Wed Nov 8 2017,9:00 pm,Miami Heat,,Phoenix Suns,,,,
Thu Nov 9 2017,10:30 pm,Oklahoma City Thunder,,Denver Nuggets,,,,
Thu Nov 9 2017,8:00 pm,Cleveland Cavaliers,,Houston Rockets,,,,
Thu Nov 9 2017,10:00 pm,Philadelphia 76ers,,Sacramento Kings,,,,
Thu Nov 9 2017,7:30 pm,New Orleans Pelicans,,Toronto Raptors,,,,
